SubcategoryCode,SubcategoryName,GoodsName,WithoutTax,WithTax,JAN,SupplierCode
201,サブカテゴリ1,ﾛﾙﾊﾞｰﾝ ﾎﾟｹｯﾄ付ﾒﾓ 縦型 ﾐﾆ LPK,275,250 ,4516085240591,1084
201,サブカテゴリ1,ﾊﾞｯｸﾌﾟﾘｰﾂCD BE,6600,6000 ,8100000399707,0928
201,サブカテゴリ1,ﾊﾞｯｸﾌﾟﾘｰﾂCD BK,6600,6000 ,8100000399721,0928
201,サブカテゴリ1,THE軽井沢ﾌﾞﾙﾜﾘｰ ｷｬﾘｰﾎﾞｯｸｽ(瓶2本用),121,110 ,0600000482235,0109
201,サブカテゴリ1,THE軽井沢ﾌﾞﾙﾜﾘｰ ｷｬﾘｰﾎﾞｯｸｽ(瓶3本用),148.5,135 ,0600000482242,0109
201,サブカテゴリ1,THE軽井沢ﾌﾞﾙﾜﾘｰ ｷｬﾘｰﾎﾞｯｸｽ(缶3本用),66,60 ,0600000482259,0109
201,サブカテゴリ1,ﾈｲﾁｬｰﾘﾊﾟﾌﾞﾘｯｸ ﾏｽｸ 販促用,550,500 ,0600000645975,0009
201,サブカテゴリ1,ﾁｪﾘｰﾌﾗｯﾄﾎﾟｰﾁS NV,2090,1900 ,0600000636522,1252
201,サブカテゴリ1,BRUNO ｺﾝﾊﾟｸﾄﾎｯﾄﾌﾟﾚｰﾄ BOE02,9680,8800 ,4514499105789,0740
201,サブカテゴリ1,Plus-1 ﾊﾟﾘ ﾏｶﾛﾝ,385,350 ,4968146779524,0610F
201,サブカテゴリ1,Plus-1 香水 PK,385,350 ,4968146786041,0610F
201,サブカテゴリ1,Plus-1 香水 BL,385,350 ,4968146786058,0610F
201,サブカテゴリ1,Plus-1 ﾘｯﾌﾟ,385,350 ,4968146786065,0610F
201,サブカテゴリ1,銀行員の日傘65cm SV,2200,2000 ,4518003017612,0310
201,サブカテゴリ1,銀行員の日傘(折傘)60cm SV,1650,1500 ,4518003018916,0310
201,サブカテゴリ1,2wayｼｮｯﾋﾟﾝｸﾞﾊﾞｯｸﾞ nextday,1210,1100 ,4543479122720,1055
201,サブカテゴリ1,UVｶｯﾄ ﾋﾞｯｸﾞﾏｽｸ OFF,990,900 ,4582144218047,00504
201,サブカテゴリ1,ｽﾌﾟﾘﾝｸﾞｲﾔﾘﾝｸﾞ,990,900 ,4580564141228,0009A
201,サブカテゴリ1,THE軽井沢ﾋﾞｰﾙｾｯﾄ G-GZ,2860,2600 ,4582446744794,0109
201,サブカテゴリ1,THE軽井沢ﾋﾞｰﾙｾｯﾄ G-MS,2750,2500 ,4582446741816,0109
201,サブカテゴリ1,THE軽井沢ﾋﾞｰﾙｾｯﾄ,3300,3000 ,4582446745845,0109
201,サブカテゴリ1,DK SWICHING ADVENTURE HAT NV,4290,3900 ,4550263193019,02540
201,サブカテゴリ1,DK SWICHING ADVENTURE HAT BE,4290,3900 ,4550263193026,02540
201,サブカテゴリ1,IJOY GR,2546.5,2315 ,4982416731760,0009
201,サブカテゴリ1,Toffy ﾊﾝﾃﾞｨﾁｮｯﾊﾟｰﾐﾆ PA,1100,1000 ,4934122084128,0680
201,サブカテゴリ1,Toffy ﾎｯﾄｻﾝﾄﾞﾒｰｶｰ ﾍﾟｰﾙAQ,4400,4000 ,4934122082247,0680
201,サブカテゴリ1,Toffy ﾎｯﾄｻﾝﾄﾞﾒｰｶｰ ｼｪﾙPK,4400,4000 ,4934122082254,0680
